InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,OnlineSecurity_numeric,TechSupport_numeric,Services_Score,Vulnerability_Score,tenure_group
0,0,1,0.15671641791044777,0.048886452804061856,0.0,1.0,1,4,0
2,0,1,0.072636815920398,0.04080890837756751,0.0,0.0,0,2,1
1,1,0,0.8810945273631839,0.6803138702977152,0.0,0.0,2,2,3
2,1,1,0.015422885572139305,0.02070736210477729,0.0,0.0,0,4,0
1,0,0,0.6671641791044776,0.028386798984537272,0.0,0.0,0,6,0
0,0,0,0.26965174129353237,0.014158781444726518,0.0,0.0,0,6,0
0,2,1,0.5104477611940298,0.5123874913454881,1.0,0.0,1,0,3
1,0,0,0.6517412935323383,0.21130279252250175,0.0,0.0,0,2,1
0,2,1,0.34676616915422886,0.21722247865220404,1.0,1.0,2,2,2
0,0,0,0.32388059701492533,0.0036925917378259863,0.0,0.0,1,6,0
2,0,1,0.013432835820895522,9.231479344564949e-05,0.0,0.0,0,6,0
0,0,3,0.3218905472636816,0.18862797138241405,0.0,0.0,1,2,2
1,0,2,0.8203980099502487,0.1735402723286407,1.0,0.0,1,2,1
1,0,2,0.6681592039800995,0.6751211631663974,0.0,0.0,2,3,3
0,1,3,0.4194029850746268,0.302532887145165,1.0,1.0,1,0,2
1,2,2,0.617412935323383,0.518676436648973,1.0,0.0,1,1,3
0,0,0,0.2641791044776119,0.017407108239095314,0.0,0.0,0,4,0
0,0,1,0.3189054726368159,0.00853334871913224,0.0,0.0,1,6,0
1,0,0,0.7611940298507462,0.2624971151627048,0.0,0.0,1,6,1
1,0,3,0.6711442786069651,0.027457881375490423,0.0,0.0,1,6,0
2,2,3,0.01691542288557213,0.09734594968843757,0.0,0.0,0,0,2
2,2,3,0.06368159203980098,0.13299099930763905,0.0,0.0,0,0,2
0,0,0,0.11442786069651739,0.009006462035541195,0.0,1.0,0,6,0
2,1,1,0.013432835820895522,0.004909993076390492,0.0,0.0,0,4,0
0,2,0,0.6064676616915423,0.46128548349873066,1.0,0.0,2,0,3
1,0,0,0.7661691542288557,0.11571082390953151,0.0,0.0,2,6,0
0,0,1,0.26368159203980096,0.014914608816062776,0.0,0.0,0,6,0
1,0,0,0.5562189054726369,0.15312139395338104,0.0,0.0,0,4,1
1,0,1,0.5606965174129352,0.006438956842834063,0.0,0.0,1,6,0
0,0,2,0.3054726368159204,0.15057696745903532,0.0,0.0,1,4,2
0,0,2,0.46169154228855724,0.11259519963074083,1.0,0.0,0,4,1
0,0,0,0.21293532338308457,0.0024059543041772442,0.0,0.0,1,8,0
0,2,0,0.2552238805970149,0.3552273251788599,1.0,1.0,0,2,3
1,0,2,0.5472636815920398,0.13581237018232173,0.0,0.0,1,2,1
1,2,3,0.7597014925373133,0.6842718670666974,1.0,0.0,1,1,3
0,1,2,0.3129353233830846,0.33955688899146086,1.0,0.0,0,0,3
1,0,0,0.6751243781094527,0.44341680129240707,0.0,0.0,1,5,2
0,1,2,0.4203980099502488,0.3607604431110085,1.0,1.0,1,1,3
0,0,1,0.16766169154228855,0.009496884375721208,1.0,1.0,0,5,0
0,2,3,0.6611940298507463,0.6779483037156704,1.0,1.0,1,0,3
1,0,2,0.5606965174129352,0.025415416570505424,0.0,0.0,1,7,0
1,0,0,0.8189054726368158,0.5053484883452573,0.0,1.0,1,4,2
1,0,3,0.6756218905472637,0.3146665128086776,0.0,0.0,0,2,2
1,0,0,0.5582089552238805,0.09409185321947844,0.0,0.0,0,4,0
1,1,2,0.7368159203980099,0.6592026309716131,1.0,0.0,1,2,3
2,0,1,0.019402985074626844,0.0001615508885298867,0.0,0.0,0,6,0
0,2,2,0.5099502487562189,0.3922686360489268,0.0,1.0,1,2,3
0,0,0,0.3532338308457711,0.06798984537272099,0.0,0.0,1,6,0
2,2,1,0.02288557213930348,0.10695822755596586,0.0,0.0,0,2,2
0,1,3,0.6258706467661692,0.47396722824832677,1.0,1.0,2,2,3
0,1,0,0.546268656716418,0.3541945534271867,0.0,1.0,1,0,2
1,0,1,0.6572139303482587,0.26111239326102004,0.0,1.0,1,4,2
1,0,1,0.6686567164179105,0.007690976228940689,0.0,0.0,0,6,0
2,0,1,0.014925373134328346,0.0001096238172167089,0.0,0.0,0,5,0
0,0,1,0.2736318407960199,0.037549042234018004,0.0,0.0,0,7,0
1,0,0,0.8308457711442786,0.1904684975767367,1.0,0.0,1,3,1
1,0,0,0.8666666666666666,0.4063985691207016,0.0,1.0,1,4,2
1,0,3,0.7054726368159204,0.4877394414954997,1.0,0.0,0,4,2
0,1,1,0.5965174129353233,0.23772790214631895,0.0,1.0,2,2,2
2,0,1,0.006965174129353213,0.019247634433417954,0.0,0.0,0,6,0
2,2,3,0.07313432835820893,0.15182321717055158,0.0,0.0,0,1,3
2,0,1,0.01791044776119402,0.0017193630279252253,0.0,0.0,0,6,0
1,1,2,0.8049751243781095,0.657990999307639,1.0,0.0,1,2,3
1,1,0,0.917910447761194,0.671209323794138,1.0,1.0,2,1,3
0,0,1,0.3169154228855721,0.003611816293561043,0.0,0.0,0,6,0
1,1,0,0.861691542288557,0.7262981767828294,1.0,0.0,1,3,3
1,2,2,0.9616915422885571,0.9029252250173091,1.0,1.0,2,1,3
0,0,0,0.32686567164179103,0.23933764135702748,0.0,1.0,0,4,2
2,0,1,0.01791044776119402,0.030636972074774987,0.0,0.0,0,2,1
0,1,3,0.2606965174129353,0.08923955688899146,1.0,0.0,1,0,1
0,2,3,0.4144278606965174,0.4022963304869605,0.0,1.0,1,1,3
2,0,2,0.011442786069651711,0.031213939533810294,0.0,0.0,0,4,1
1,0,0,0.6169154228855721,0.014510731594738056,0.0,0.0,0,6,0
0,1,1,0.4,0.22347103623355646,1.0,0.0,2,0,2
0,0,0,0.2656716417910448,0.11286060466189708,0.0,0.0,0,4,1
0,2,3,0.635323383084577,0.2982114008769905,0.0,1.0,2,0,2
2,1,3,0.010447761194029848,0.0010962381721670899,0.0,0.0,0,4,0
1,0,2,0.890547263681592,0.56127394414955,0.0,0.0,2,3,2
1,2,2,0.7646766169154228,0.7690514654973459,1.0,1.0,1,0,3
0,0,0,0.37960199004975126,0.024930763904915762,0.0,0.0,0,6,0
1,0,2,0.8049751243781095,0.22358642972536352,0.0,1.0,1,4,1
0,1,1,0.47114427860696506,0.06629356104315716,0.0,1.0,1,2,0
1,0,0,0.7139303482587065,0.22790214631894762,0.0,1.0,0,4,1
2,0,1,0.023880597014925342,0.01582044772674821,0.0,0.0,0,6,0
1,1,2,0.8149253731343283,0.5124624971151627,0.0,0.0,1,4,2
2,2,1,0.0681592039800995,0.0889395338102931,0.0,0.0,0,0,2
0,0,1,0.3079601990049751,0.04951534733441034,0.0,1.0,0,8,0
1,0,0,0.7129353233830846,0.3217285945072698,0.0,0.0,1,4,2
0,2,2,0.44825870646766164,0.4812947149780752,0.0,0.0,1,0,3
2,2,1,0.05920398009950248,0.06811100853911839,0.0,0.0,0,0,1
1,2,2,0.9492537313432835,0.9139683821832448,1.0,1.0,2,2,3
1,1,1,0.8587064676616915,0.2562427879067621,0.0,1.0,2,2,1
0,0,0,0.4144278606965174,0.08880106162012463,0.0,0.0,1,6,1
1,0,3,0.7079601990049752,0.6875259635356565,0.0,0.0,1,4,3
1,0,0,0.5134328358208955,0.0058908377567505185,0.0,0.0,0,6,0
1,0,2,0.7522388059701491,0.6411204708054465,0.0,0.0,0,5,3
1,1,0,0.8557213930348259,0.7894991922455574,0.0,1.0,1,2,3
1,0,0,0.5104477611940298,0.057990999307639055,0.0,0.0,0,6,0
0,1,0,0.26865671641791045,0.374526886683591,0.0,0.0,0,4,3
1,0,0,0.5860696517412936,0.0067332102469420735,0.0,0.0,0,6,0
1,0,2,0.6706467661691543,0.30527348257558273,0.0,0.0,0,4,2
0,0,2,0.4099502487562189,0.08793561043157166,1.0,1.0,1,2,1
1,0,0,0.5736318407960199,0.006588968382183245,0.0,1.0,0,6,0
1,2,3,0.9701492537313433,0.9670378490653126,1.0,1.0,2,2,3
0,0,1,0.25870646766169153,0.034000692360950845,0.0,0.0,0,5,0
1,0,2,0.5119402985074627,0.00587352873297946,0.0,0.0,0,6,0
1,0,0,0.5124378109452736,0.005879298407569814,0.0,0.0,0,8,0
1,2,2,0.8696517412935324,0.7730325409646895,0.0,1.0,1,0,3
0,1,0,0.5218905472636816,0.43286406646665126,0.0,1.0,1,0,3
2,2,1,0.013432835820895522,0.06258366028156012,0.0,0.0,0,2,2
1,0,0,0.8174129353233831,0.36912647126702053,0.0,0.0,1,4,2
2,2,2,0.0527363184079602,0.1967632125548119,0.0,0.0,0,1,3
1,1,0,0.8955223880597015,0.6245788137549042,1.0,0.0,2,0,3
1,0,2,0.6154228855721392,0.0762174013385645,0.0,0.0,0,6,0
1,0,0,0.6154228855721392,0.036620124624971155,1.0,0.0,0,6,0
1,1,0,0.8164179104477611,0.7772386337410571,0.0,1.0,1,1,3
0,1,2,0.22238805970149256,0.29657858296792056,1.0,1.0,1,1,3
2,0,3,0.02288557213930348,0.00020193861066235838,0.0,0.0,0,6,0
0,1,1,0.17711442786069648,0.04428802215555044,1.0,1.0,0,3,0
1,0,2,0.5149253731343283,0.015491576275098087,0.0,0.0,0,6,0
0,1,0,0.39154228855721396,0.1556600507731364,1.0,0.0,2,0,1
0,2,2,0.6825870646766168,0.7206323563351027,1.0,1.0,2,0,3
2,2,2,0.07213930348258707,0.20805446572813294,0.0,0.0,0,2,3
1,0,3,0.7965174129353233,0.10439649203784908,0.0,0.0,1,6,0
1,0,3,0.5691542288557214,0.406912070159243,1.0,0.0,0,4,2
0,1,0,0.4149253731343284,0.2111700900069236,1.0,1.0,1,0,2
1,0,0,0.7681592039800995,0.39871336256635126,0.0,0.0,0,6,2
1,0,0,0.5751243781094527,0.03462958689129933,0.0,0.0,0,6,0
1,2,3,0.8034825870646766,0.4749826909762289,0.0,1.0,1,1,2
1,2,0,0.9174129353233832,0.6991633971843988,0.0,1.0,2,3,3
0,0,1,0.4592039800995025,0.02702515578121394,0.0,1.0,0,6,0
1,0,2,0.6194029850746269,0.15210016155088854,0.0,0.0,1,3,1
1,0,2,0.8288557213930349,0.03225825063466421,0.0,0.0,1,6,0
0,0,3,0.2646766169154229,0.048072928686822065,0.0,0.0,0,6,0
0,0,2,0.5393034825870647,0.24664781906300487,1.0,1.0,2,4,2
1,2,3,0.7019900497512437,0.5523309485345027,0.0,1.0,1,3,3
1,0,0,0.7164179104477612,0.08365451188552966,0.0,1.0,0,5,0
0,0,1,0.30597014925373134,0.14684398799907686,0.0,0.0,0,4,2
1,2,2,0.8800995024875623,0.8496942072467113,1.0,0.0,1,1,3
2,1,3,0.01243781094527363,0.0942418647588276,0.0,0.0,0,2,2
1,0,0,0.7601990049751244,0.14611700900069235,0.0,0.0,1,5,1
1,0,0,0.6114427860696517,0.0070274636510500805,0.0,0.0,0,6,0
0,1,3,0.31990049751243776,0.18016385875836602,1.0,0.0,2,3,2
1,0,3,0.672139303482587,0.25096353565658897,1.0,0.0,0,6,2
0,1,1,0.5199004975124378,0.2518982229402262,1.0,1.0,1,1,2
2,0,1,0.010447761194029848,0.004142626355873529,0.0,0.0,0,4,0
0,0,0,0.3577114427860697,0.033400646203554124,1.0,1.0,0,6,0
2,0,1,0.011940298507462671,7.500576967459007e-05,0.0,0.0,0,5,0
1,1,3,0.7950248756218906,0.4728825294253404,1.0,1.0,2,3,2
1,0,0,0.8263681592039801,0.4724555735056543,0.0,0.0,1,3,2
2,2,3,0.011940298507462671,0.13729517655204246,0.0,0.0,0,1,3
0,1,3,0.554726368159204,0.4452861758596815,1.0,1.0,1,2,3
2,2,1,0.06318407960199005,0.14541887837525966,0.0,0.0,0,2,3
0,0,0,0.3034825870646766,0.04885760443111009,0.0,0.0,1,5,0
1,1,0,0.8208955223880597,0.7680417724440342,1.0,0.0,0,3,3
1,0,1,0.8517412935323382,0.25342718670666975,1.0,0.0,1,4,1
0,0,0,0.11592039800995024,0.00847565197322871,0.0,1.0,0,5,0
0,1,1,0.43631840796019905,0.1243768751442419,1.0,1.0,0,0,1
0,0,3,0.2631840796019901,0.0029886914378029084,0.0,0.0,0,5,0
1,0,2,0.7845771144278606,0.42558850680821597,0.0,0.0,0,3,2
1,0,0,0.6199004975124378,0.007125548119086083,0.0,0.0,0,5,0
1,0,0,0.6273631840796019,0.045868912993307184,0.0,0.0,1,5,0
1,0,2,0.6527363184079601,0.40542926378952227,0.0,0.0,0,4,2
1,0,2,0.6741293532338308,0.17466535887375953,0.0,0.0,0,4,1
0,1,0,0.39900497512437816,0.15325409646895918,1.0,1.0,0,1,1
1,2,3,0.6621890547263681,0.70653704131087,1.0,1.0,1,3,3
0,1,0,0.36915422885572136,0.30177129009923837,1.0,0.0,0,1,3
0,2,2,0.618407960199005,0.6576332794830372,0.0,1.0,2,0,3
1,0,2,0.6592039800995024,0.07429609969997693,0.0,0.0,0,6,0
1,0,2,0.6621890547263681,0.45465612739441497,0.0,1.0,1,3,2
2,0,3,0.01791044776119402,0.0230440803138703,0.0,0.0,0,4,0
0,0,1,0.2741293532338308,0.0031156242787906754,0.0,0.0,0,6,0
1,0,0,0.8711442786069651,0.34378029079159933,0.0,1.0,1,5,2
2,2,1,0.05920398009950248,0.16459727671359337,0.0,0.0,0,0,3
2,2,2,0.0771144278606965,0.20514078006000463,0.0,0.0,0,0,3
1,2,3,0.8104477611940298,0.728317562889453,1.0,0.0,1,1,3
0,0,1,0.15124378109452735,0.1335160396953612,0.0,1.0,1,4,2
1,0,2,0.7945273631840796,0.28754904223401795,0.0,0.0,1,5,2
1,2,1,0.9711442786069652,0.7557235171936303,1.0,1.0,2,0,3
2,0,2,0.01243781094527363,0.010154627279021462,0.0,0.0,0,8,0
1,1,2,0.8651741293532339,0.8501327025155782,0.0,1.0,1,2,3
1,0,0,0.6019900497512437,0.04538426032771752,0.0,0.0,1,5,0
2,0,1,0.01791044776119402,0.0001442418647588273,0.0,0.0,0,6,0
1,0,0,0.8213930348258706,0.14877682898684513,1.0,0.0,0,6,1
1,0,0,0.6945273631840796,0.09029540733902608,1.0,0.0,0,5,0
0,0,0,0.4701492537313433,0.06901684744980384,0.0,1.0,1,4,0
0,2,1,0.37960199004975126,0.4534560350796215,1.0,1.0,2,0,3
0,1,1,0.363681592039801,0.39774982690976224,1.0,0.0,1,2,3
0,0,3,0.35422885572139307,0.02780983152550196,1.0,1.0,0,6,0
1,0,0,0.5990049751243781,0.03591622432494808,0.0,0.0,1,6,0
2,0,2,0.01840796019900498,0.002809831525501961,0.0,0.0,0,5,0
1,0,3,0.7159203980099502,0.16563004846526658,1.0,0.0,2,3,1
0,2,0,0.36169154228855727,0.3928802215555043,0.0,1.0,1,0,3
1,0,0,0.5059701492537313,0.005804292637895223,0.0,0.0,0,8,0
1,1,2,0.8447761194029851,0.781635125778906,0.0,0.0,2,3,3
1,1,2,0.7835820895522387,0.3464689591507039,0.0,0.0,1,2,2
0,2,3,0.4567164179104478,0.4887260558504501,1.0,1.0,1,0,3
2,0,1,0.014925373134328346,0.006865912762520194,0.0,0.0,0,6,0
1,0,0,0.5139303482587065,0.0058966074313408735,0.0,0.0,0,6,0
1,0,1,0.6228855721393034,0.0071601661666282025,0.0,0.0,0,6,0
0,1,2,0.3771144278606965,0.4003173321024694,1.0,0.0,1,1,3
1,1,0,0.873134328358209,0.7533925686591276,1.0,0.0,1,0,3
0,2,1,0.3144278606965174,0.06153934918070622,1.0,1.0,1,2,0
2,1,1,0.01691542288557213,0.027486729748442188,0.0,0.0,0,2,1
0,2,3,0.6786069651741293,0.41030463881837065,1.0,1.0,1,1,2
1,0,0,0.8552238805970148,0.37210362335564273,0.0,1.0,1,2,2
1,1,0,0.8875621890547264,0.8110662358642973,0.0,0.0,2,2,3
1,0,0,0.6786069651741293,0.34736902838679895,0.0,0.0,0,4,2
2,0,2,0.020398009950248763,0.026252019386106624,0.0,0.0,0,6,0
1,0,2,0.8701492537313432,0.36498961458573737,1.0,1.0,2,5,2
0,2,3,0.5238805970149254,0.5645684283406416,1.0,1.0,2,1,3
2,0,1,0.05323383084577116,0.00810639279944611,0.0,0.0,0,5,0
1,1,2,0.8587064676616915,0.7800888529886915,1.0,1.0,2,2,3
0,2,3,0.37014925373134333,0.48008308331410104,1.0,1.0,2,0,3
0,0,1,0.2746268656716418,0.007177475190399262,0.0,0.0,0,6,0
0,2,1,0.5074626865671642,0.5110720055388877,1.0,1.0,1,0,3
0,0,0,0.06766169154228854,0.004333025617355182,0.0,0.0,0,6,0
0,0,2,0.2656716417910448,0.24810754673436422,0.0,0.0,0,4,2
0,0,2,0.46019900497512434,0.018301407800600047,1.0,1.0,0,5,0
0,0,0,0.254228855721393,0.002884837295176552,0.0,0.0,0,6,0
0,2,3,0.21343283582089556,0.22085737364412647,0.0,1.0,2,2,3
1,2,3,0.9701492537313433,0.9721786291253174,1.0,1.0,2,3,3
1,0,0,0.600995024875622,0.006906300484652667,0.0,0.0,0,5,0
0,0,0,0.33134328358208953,0.08616432033233326,0.0,0.0,0,4,1
1,2,3,0.96318407960199,0.967712900992384,1.0,1.0,2,2,3
1,2,2,0.8656716417910447,0.875946226632818,1.0,0.0,1,0,3
2,1,0,0.01741293532338306,0.06014885760443111,0.0,0.0,0,0,2
1,2,0,0.9059701492537312,0.6591968612970228,1.0,1.0,1,2,3
1,0,2,0.8079601990049752,0.6467689822294023,1.0,0.0,2,4,3
1,0,0,0.8577114427860696,0.5590872374798062,0.0,0.0,2,6,2
0,0,0,0.2796019900497512,0.0754558042926379,0.0,0.0,0,6,1
0,2,2,0.6308457711442786,0.4154050311562428,1.0,1.0,1,2,2
0,1,0,0.35074626865671643,0.3481421647819063,0.0,1.0,1,4,3
2,1,1,0.021393034825870627,0.007610200784675745,0.0,0.0,0,3,0
0,2,2,0.4129353233830846,0.489983844911147,1.0,0.0,1,2,3
2,1,3,0.007960199004975133,0.11212208631433189,0.0,0.0,0,1,3
1,0,0,0.564179104477612,0.02234018001384722,0.0,0.0,0,6,0
1,2,2,0.9383084577114428,0.8986498961458574,1.0,1.0,2,1,3
